1,1,9.99000999000999E-4,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1, ])
1,2,9.99000999000999E-4,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
1,3,9.99000999000999E-4,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
2,1,0.001998001998001998,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d2, ])
2,2,0.001998001998001998,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
2,3,0.001998001998001998,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
3,1,0.002997002997002997,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2, ])
3,2,0.002997002997002997,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
3,3,0.002997002997002997,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
4,1,0.003996003996003996,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d3, ])
4,2,0.003996003996003996,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
4,3,0.003996003996003996,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
5,1,0.004995004995004995,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4, ])
5,2,0.004995004995004995,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
5,3,0.004995004995004995,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
6,1,0.005994005994005994,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d4, ])
6,2,0.005994005994005994,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
6,3,0.005994005994005994,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
7,1,0.006993006993006993,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4, ])
7,2,0.006993006993006993,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
7,3,0.006993006993006993,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
8,1,0.007992007992007992,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2, ])
8,2,0.007992007992007992,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
8,3,0.007992007992007992,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
9,1,0.008991008991008992,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d1, ])
9,2,0.008991008991008992,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
9,3,0.008991008991008992,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
10,1,0.00999000999000999,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4, ])
10,2,0.00999000999000999,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
10,3,0.00999000999000999,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
11,1,0.01098901098901099,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2, ])
11,2,0.01098901098901099,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
11,3,0.01098901098901099,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
12,1,0.011988011988011988,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4, ])
12,2,0.011988011988011988,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
12,3,0.011988011988011988,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
